Title,Url,Company,Location,Salary,Easy Apply
Data Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DKuOZLttvwtXPJoVGXTcppp9X45sSvdQik9XtIOfPUMedwpId_9V-HK1V_eYnAGfVksCS5F0akGansyCX4Yt7E-UxwkAQoGz43bospNQcHrTgkok-olxnV0etpoJtnOQrk1y-StmHvrdyIX639IPlYnFcUXTtqkoSVT8UrJaqpCVq8ferNVVxJFfJEuRCSr0r-gf7ynXzdKtScgLpIsogj0ODJLMOI_BKvTSil3hKisJzDdFU3N8O0644cJQFk1cBgbYbxmefQscOiMFDQDd0Mmst9YUj6x6Cnk5LWHd3S4nYcOUof7thShkVlTHPEMXM_kqfqTjbCjsaHEfIsQ3ue0s_Neg3ms6SUV1rFYXqpdsSjAOi81CFAq7CAr3ShcvalUKbDp30guVxj5fCUPELCIHOacMryCQAGPzzsGzPhMd2tgQGNEUTK&p=0&fvj=1&vjs=3,,"Winnipeg, MB","
$16.50 - $18.00 an hour",
Power BI Developer (Must be University Student in BC),https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BnEHtzQIBYXg42Ks7QXFSWoNoZ9WZBJJie5GLyjSu2SfFAzsjneKzp53HERW2vbeK-uyPZ_6oATqshMbkB_EZjszQwP4Uaz63fNLbZMKXm2ZyM5UOQsU8E4Yuej9FYFsZdiNoML4tcDUVMDD8UnyN8lr-lFGVfEqNa2R9hNqHBAtJFkl72RFLYY2lKoZqbjtSTMNix_Mp2NfV1Pqzdw0iPSBO2TKHXjM0e4h4ydHuwOSLmlfejlrvBYEPbElxUJMYQ7-5ovqzWfmaYFsSF0aKOvWe_LJ1Q9Oubrd8IyuXWNDes_FLU1wm_aBQjEaTlyQEZ0bLKrPUIYq2xdz8L0jpuO2VTn_n1u7LEqXpit7mrCBbZiTWGQF9P0WvzOKopx_rW6o-L_0TpKaV4wDr3eMUUB1xlFSIiNVYwbcjyQ7z4e08l9ckPiXh_bRjpD-tQWpdF4PwRmTX_ctgIRcOVtpRKUq4AMySwMFA=&p=1&fvj=1&vjs=3,,"Burnaby, BC","
$3,000 a month",
"Senior Analyst, Data and Reporting",https://ca.indeed.com/rc/clk?jk=6b2390a376771617&fccid=3fdc7704bcefe0e7&vjs=3,"
University of Winnipeg","Winnipeg, MB",,
Data Analyst and Investigator,https://ca.indeed.com/rc/clk?jk=e4b935e5d5cf2fae&fccid=0261b4753802fd26&vjs=3,"
Shaw Communications",Canada,,
Data Analyst,https://ca.indeed.com/rc/clk?jk=105aef203ee89222&fccid=2d7c4fa213033676&vjs=3,"
360insights","Moncton, NB",,
Data Analyst,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFP-NCcN4t-J57IddP5uA93URMmATkfJaXahUIB2VrJbb6FMxsCHmxjZ3aJ7nqov0E-wE19Zfvlafpxhr8uVTByO9BgnRf5XOGvGPuaOKEghUtxAsddQ8ie648eBl8UQ_oq6PidNHr9GvOavFsL6lyjYs8jT9LCxf9LxFFYgQ4Hfb9k4OtG5d51rE30T0KF6stXyG8pbRd6mBCHcCJPPpMyBkI8qN85MBXMU3S2BPqDx13ZRdrGp04JRpriklChpCG_jOeL5vjXYx5PBm-Oo4ujw3Wo2b9-6bJbzeLqL33shj4ve6YSKZZ6lXiI84cm7XicwqnclQ8OcUxMm29-OUqVDl1UgMPivewIXTkQoYMsO2OJwnDJn4RpT6rLwnv8rQhTnHwkLCrk88hQ7nvc1sQObtypqLwtaqRnCTCCeBhxQ==&p=5&fvj=1&vjs=3,,"Langley, BC",,
Data Science Analyst,https://ca.indeed.com/rc/clk?jk=dd7a41249a898fe2&fccid=bc30630cfcc120d4&vjs=3,"
Loblaw Companies Limited","Brampton, ON",,
Junior Data Analyst,https://ca.indeed.com/rc/clk?jk=7d3f4233638a9413&fccid=6f5e40b8dcb51f3a&vjs=3,,"Toronto, ON",,
"Senior Insights & Visualization Analyst (Remote, Canada)",https://ca.indeed.com/rc/clk?jk=6834ce30b3c0af32&fccid=d5a5824be27ba831&vjs=3,"
Shopify",Canada,,
Data Quality Analyst Summer Co-op 2021,https://ca.indeed.com/rc/clk?jk=f789dfe5190dd889&fccid=537b899e30af3338&vjs=3,"
RBC",Ontario,,
Data Analyst,https://ca.indeed.com/rc/clk?jk=42b23abaed4b2dab&fccid=30d56a0c0e4a2d19&vjs=3,,"Winnipeg, MB",,
Specialist-Data Visualization,https://ca.indeed.com/rc/clk?jk=bf4bd5f13d04a674&fccid=21d7457fa0b5bec7&vjs=3,"
Canadian Red Cross",Canada,"
$56,000 - $71,000 a year",
Data analyst,https://ca.indeed.com/rc/clk?jk=007cae1dc5132ef9&fccid=d2841a5c0380b93d&vjs=3,"
CGI","Montréal, QC",,
"Data Analyst, Marketing",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyK--AGwHVJM38gjCgoUUzKbXZ0LaePQ99gWayKepyPDPmtEaB6J0Z0EoXtwsbwHaGPBH0Z6JpdezLyk7m8OjQuUH_3qRcWCEY-1C7ZIOe6t9eOF068sWY1h7sBT7nJkvAG6MngPf8bQFOQ34c0pMisaihPiLyrdiG-AYkUKiVEh2dOPoM1DcfW2RKvVm--7O3yfjuB3T3mKPw5o4JbVMqN5yftYJX_WKen8rfhJK8g8cWPHSyTOnSbGKQVx7lOAk8A3hUEj7_J5qbAAjfG74fxa-D6hqp5F5LRdlXrX-nA6kwuLtxAyhbr4khBJCvCrDkW_g_QKrRMJB-Vwx3fHR04xnAd01V5a9j0xsVB2MEg_ESU7OYxGflJpYV5hobO2zBZgd5rt-Ib2hysTRVnNE6FVvTGzMmDXKO2wb9BuJAxWq88Bo_zsMe38nYIbnM39VEJiMg9N0CwlxA26yIsX9WxP3j1Ypw6sH8s445g-KbS-nMZIWGSf8tP1cduB-UCdiDf_4QSDdZF2tiCfxs_iSKTUb6onyxbIT4davbNHEeq3NGVXoFHBC8nFB7lBXd4h0=&p=13&fvj=0&vjs=3,"
Prodigy Game","Oakville, ON",,
"Joint Venture Contracts Analyst, A&D",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzcDfZaLm5XbsrTuD658X8d1RVAgjVQJuOFs0HLcxXVQaN5EcE8lKyQ-r92G6X7xU41G6F8WgNgaxuhffK7FqlqSNxSuzdvDop5lW4dzDQfzn0_EeKxRT4r20Eve9ofV2oZB299vqvDgGfuwotIPvD7Au7myz0WzJSoNvGkp5-Ogqm3Q_5Oes4f54VQTj4GNFMzRUn1CBJJ0O2ufE2qOtUcivoO11u8ygV2aqoVVzi9LRYJq5jlFE683fUrQ6tKe01nPjycxBqWru6fBStdCpFPQuE6paaOCRVUKtvP4gFVXmnumzBX74jBjlg-0ij-wAJVAQrOvvF8HNSfPmCxEJspptyH1eiT3NRY4_-kDkMVqckqK14_56wvEM7GjAsxTmUaq14Uw6WnyLT3XnbVJfu_plh17gR8tuFkwjgE5sx_YnopDd0q6hQyj9e6PJUTzg=&p=14&fvj=1&vjs=3,"
Harvest Operations Corp.","Calgary, AB","
$100,000 - $148,500 a year",
Data analyst,https://ca.indeed.com/rc/clk?jk=007cae1dc5132ef9&fccid=d2841a5c0380b93d&vjs=3,"
CGI","Montréal, QC",,
